id,Name,Breed Group,Bred For,Minimum Life Span,Maximum Life Span,Minimum Height,Maximum Height,Minimum Weight,Maximum Weight,Temperament,Image
1,Affenpinscher,Toy,"Small rodent hunting, lapdog",10.0,12.0,9.0,12.0,6.0,13.0,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",https://cdn2.thedogapi.com/images/0LJiOVlxp.jpg
2,Afghan Hound,Hound,Coursing and hunting,10.0,13.0,25.0,27.0,50.0,60.0,"Aloof, Clownish, Dignified, Independent, Happy",https://cdn2.thedogapi.com/images/tChrH8dDJ.jpg
3,Airedale Terrier,Terrier,"Badger, otter hunting",10.0,13.0,21.0,23.0,40.0,65.0,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",https://cdn2.thedogapi.com/images/PG8UPLSVU.jpg
4,Akbash Dog,Working,Sheep guarding,10.0,12.0,28.0,34.0,90.0,120.0,"Loyal, Independent, Intelligent, Brave",https://cdn2.thedogapi.com/images/SyfsC19NQ_1280.jpg
5,Akita,Working,Hunting bears,10.0,14.0,24.0,28.0,65.0,115.0,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",https://cdn2.thedogapi.com/images/36TXlWMDf.jpg
6,Alapaha Blue Blood Bulldog,Mixed,Guarding,12.0,13.0,18.0,24.0,55.0,90.0,"Loving, Protective, Trainable, Dutiful, Responsible",https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg
7,Alaskan Husky,Mixed,Sled pulling,10.0,13.0,23.0,26.0,38.0,50.0,"Friendly, Energetic, Loyal, Gentle, Confident",https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg
8,Alaskan Malamute,Working,"Hauling heavy freight, Sled pulling",12.0,15.0,23.0,25.0,65.0,100.0,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",https://cdn2.thedogapi.com/images/GhtSdrW29.jpg
9,American Eskimo Dog,Non-Sporting,Circus performer,12.0,15.0,15.0,19.0,20.0,40.0,"Friendly, Alert, Reserved, Intelligent, Protective",https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg
10,American Foxhound,Hound,"Fox hunting, scent hound",8.0,15.0,21.0,28.0,65.0,75.0,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",https://cdn2.thedogapi.com/images/uISezUGDV.jpg
11,American Pit Bull Terrier,Terrier,Fighting,10.0,15.0,17.0,21.0,30.0,60.0,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",https://cdn2.thedogapi.com/images/HkC31gcNm_1280.png
12,American Water Spaniel,Sporting,Bird flushing and retrieving,10.0,12.0,15.0,18.0,25.0,45.0,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg
13,Anatolian Shepherd Dog,Working,Livestock herding,11.0,13.0,27.0,29.0,80.0,150.0,"Steady, Bold, Independent, Confident, Intelligent, Proud",https://cdn2.thedogapi.com/images/BJT0Jx5Nm_1280.jpg
14,Australian Kelpie,Herding,"Farm dog, Cattle herding",10.0,13.0,17.0,20.0,31.0,46.0,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",https://cdn2.thedogapi.com/images/Hyq1ge9VQ_1280.jpg
15,Australian Shepherd,Herding,Sheep herding,12.0,16.0,18.0,23.0,35.0,65.0,"Good-natured, Affectionate, Intelligent, Active, Protective",https://cdn2.thedogapi.com/images/B1-llgq4m_1280.jpg
16,Azawakh,Hound,"Livestock guardian, hunting",10.0,13.0,23.0,29.0,33.0,55.0,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",https://cdn2.thedogapi.com/images/SkvZgx94m_1280.jpg
17,Basenji,Hound,Hunting,10.0,12.0,16.0,17.0,22.0,24.0,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",https://cdn2.thedogapi.com/images/H1dGlxqNQ_1280.jpg
18,Basset Bleu de Gascogne,Hound,Hunting on foot.,10.0,14.0,13.0,15.0,35.0,40.0,"Affectionate, Lively, Agile, Curious, Happy, Active",https://cdn2.thedogapi.com/images/BkMQll94X_1280.jpg
19,Beagle,Hound,"Rabbit, hare hunting",13.0,16.0,13.0,15.0,20.0,35.0,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",https://cdn2.thedogapi.com/images/Syd4xxqEm_1280.jpg
20,Beauceron,Herding,"Boar herding, hunting, guarding",10.0,12.0,24.0,28.0,80.0,110.0,"Fearless, Friendly, Intelligent, Protective, Calm",https://cdn2.thedogapi.com/images/HJQ8ge5V7_1280.jpg
21,Bedlington Terrier,Terrier,"Killing rat, badger, other vermin",14.0,16.0,15.0,16.0,17.0,23.0,"Affectionate, Spirited, Intelligent, Good-tempered",https://cdn2.thedogapi.com/images/ByK8gx947_1280.jpg
22,Belgian Malinois,Herding,Stock herding,12.0,14.0,22.0,26.0,40.0,80.0,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",https://cdn2.thedogapi.com/images/r1f_ll5VX_1280.jpg
23,Belgian Tervuren,Herding,"Guarding, Drafting, Police work.",10.0,12.0,22.0,26.0,40.0,65.0,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",https://cdn2.thedogapi.com/images/B1KdxlcNX_1280.jpg
24,Bernese Mountain Dog,Working,Draft work,7.0,10.0,23.0,28.0,65.0,120.0,"Affectionate, Loyal, Intelligent, Faithful",https://cdn2.thedogapi.com/images/S1fFlx5Em_1280.jpg
25,Black and Tan Coonhound,Hound,"Hunting raccoons, night hunting",10.0,12.0,23.0,27.0,65.0,100.0,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",https://cdn2.thedogapi.com/images/HJAFgxcNQ_1280.jpg
26,Bloodhound,Hound,Trailing,8.0,10.0,23.0,27.0,80.0,110.0,"Stubborn, Affectionate, Gentle, Even Tempered",https://cdn2.thedogapi.com/images/Skdcgx9VX_1280.jpg
27,Bluetick Coonhound,Hound,Hunting with a superior sense of smell.,12.0,14.0,21.0,27.0,45.0,80.0,"Friendly, Intelligent, Active",https://cdn2.thedogapi.com/images/rJxieg9VQ_1280.jpg
28,Boerboel,Working,"Guarding the homestead, farm work.",10.0,12.0,22.0,27.0,110.0,200.0,"Obedient, Confident, Intelligent, Dominant, Territorial",https://cdn2.thedogapi.com/images/HyOjge5Vm_1280.jpg
29,Border Terrier,Terrier,"Fox bolting, ratting",12.0,14.0,11.0,16.0,12.0,16.0,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",https://cdn2.thedogapi.com/images/HJOpge9Em_1280.jpg
30,Boston Terrier,Non-Sporting,"Ratting, Companionship",11.0,13.0,16.0,17.0,10.0,25.0,"Friendly, Lively, Intelligent",https://cdn2.thedogapi.com/images/rkZRggqVX_1280.jpg
31,Bouvier des Flandres,Herding,Cattle herding,10.0,15.0,24.0,28.0,70.0,110.0,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",https://cdn2.thedogapi.com/images/Byd0xl5VX_1280.jpg
32,Boxer,Working,"Bull-baiting, guardian",8.0,10.0,22.0,25.0,50.0,70.0,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",https://cdn2.thedogapi.com/images/ry1kWe5VQ_1280.jpg
33,Boykin Spaniel,Sporting,Turkey retrieving,10.0,14.0,14.0,18.0,25.0,40.0,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",https://cdn2.thedogapi.com/images/ryHJZlcNX_1280.jpg
34,Bracco Italiano,Sporting,Versatile gun dog,10.0,12.0,22.0,27.0,55.0,88.0,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",https://cdn2.thedogapi.com/images/S13yZg5VQ_1280.jpg
35,Briard,Herding,"Herding, guarding sheep",10.0,12.0,22.0,27.0,70.0,90.0,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",https://cdn2.thedogapi.com/images/rkVlblcEQ_1280.jpg
36,Brittany,Sporting,"Pointing, retrieving",12.0,14.0,18.0,21.0,30.0,45.0,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",https://cdn2.thedogapi.com/images/HJWZZxc4X_1280.jpg
37,Bullmastiff,Working,Estate guardian,8.0,12.0,24.0,27.0,100.0,130.0,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",https://cdn2.thedogapi.com/images/r1ifZl5E7_1280.jpg
38,Cairn Terrier,Terrier,"Bolting of otter, foxes, other vermin",14.0,15.0,9.0,10.0,13.0,14.0,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",https://cdn2.thedogapi.com/images/Sk7Qbg9E7_1280.jpg
39,Cane Corso,Working,"Companion, guard dog, and hunter",10.0,11.0,24.0,28.0,88.0,120.0,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg
40,Cardigan Welsh Corgi,Herding,Cattle droving,12.0,14.0,11.0,13.0,25.0,38.0,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg
41,Catahoula Leopard Dog,Herding,Driving livestock,10.0,12.0,20.0,26.0,50.0,95.0,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",https://cdn2.thedogapi.com/images/BJcNbec4X_1280.jpg
42,Caucasian Shepherd (Ovcharka),Working,"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",10.0,12.0,24.0,34.0,80.0,100.0,"Alert, Quick, Dominant, Powerful, Calm, Strong",https://cdn2.thedogapi.com/images/r1rrWe5Em_1280.jpg
43,Cavalier King Charles Spaniel,Toy,"Flushing small birds, companion",10.0,14.0,12.0,13.0,13.0,18.0,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg
44,Chinese Crested,Toy,"Ratting, lapdog, curio",10.0,14.0,11.0,13.0,10.0,13.0,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",https://cdn2.thedogapi.com/images/B1pDZx9Nm_1280.jpg
45,Chinook,Working,Sled pulling,12.0,15.0,22.0,26.0,50.0,90.0,"Friendly, Alert, Dignified, Intelligent, Calm",https://cdn2.thedogapi.com/images/Sypubg54Q_1280.jpg
46,Chow Chow,Non-Sporting,"Guardian, cart pulling, hunting",12.0,15.0,17.0,20.0,40.0,70.0,"Aloof, Loyal, Independent, Quiet",https://cdn2.thedogapi.com/images/ry8KWgqEQ_1280.jpg
47,Clumber Spaniel,Sporting,"Bird flushing, retrieving",10.0,12.0,17.0,20.0,55.0,85.0,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",https://cdn2.thedogapi.com/images/rkeqWgq4Q_1280.jpg
48,Cocker Spaniel (American),Sporting,Hunting the American woodcock,12.0,15.0,14.0,15.0,20.0,30.0,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",https://cdn2.thedogapi.com/images/HkRcZe547_1280.jpg
49,Coton de Tulear,Non-Sporting,"Accompanying ladies on long sea voyages, ratters onboard ship.",13.0,16.0,9.0,11.0,9.0,15.0,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",https://cdn2.thedogapi.com/images/SyviZlqNm_1280.jpg
50,Dalmatian,Non-Sporting,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,10.0,13.0,19.0,23.0,50.0,55.0,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",https://cdn2.thedogapi.com/images/SkJ3blcN7_1280.jpg
51,Dogo Argentino,Working,Big-game hunting,10.0,12.0,24.0,27.0,80.0,100.0,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",https://cdn2.thedogapi.com/images/S1nhWx94Q_1280.jpg
52,English Shepherd,Working,"Herding & guarding livestock, farm watch dog",10.0,13.0,18.0,23.0,44.0,66.0,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",https://cdn2.thedogapi.com/images/H1QyMe5EQ_1280.jpg
53,English Springer Spaniel,Sporting,"Bird flushing, retrieving",12.0,14.0,19.0,20.0,35.0,50.0,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",https://cdn2.thedogapi.com/images/Hk0Jfe5VQ_1280.jpg
54,Eurasier,Non-Sporting,Companionship,12.0,14.0,21.0,24.0,40.0,70.0,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",https://cdn2.thedogapi.com/images/S1VWGx9Nm_1280.jpg
55,Field Spaniel,Sporting,"Bird flushing, retrieving",11.0,15.0,17.0,18.0,35.0,50.0,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",https://cdn2.thedogapi.com/images/SkJfGecE7_1280.jpg
56,Finnish Lapphund,Herding,Herding reindeer,12.0,15.0,16.0,21.0,33.0,53.0,"Friendly, Keen, Faithful, Calm, Courageous",https://cdn2.thedogapi.com/images/S1KMGg5Vm_1280.jpg
57,German Pinscher,Working,"Watchdog, Hunting vermin on the farm.",12.0,14.0,17.0,20.0,25.0,45.0,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",https://cdn2.thedogapi.com/images/B1u4zgqE7_1280.jpg
58,German Shepherd Dog,Herding,"Herding, Guard dog",10.0,13.0,22.0,26.0,50.0,90.0,"Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",https://cdn2.thedogapi.com/images/SJyBfg5NX_1280.jpg
59,German Shorthaired Pointer,Sporting,General hunting,12.0,14.0,21.0,25.0,45.0,70.0,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",https://cdn2.thedogapi.com/images/SJqBMg5Nm_1280.jpg
60,Giant Schnauzer,Working,"Herding, guarding",10.0,12.0,24.0,28.0,65.0,90.0,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",https://cdn2.thedogapi.com/images/H1NIzlcV7_1280.jpg
61,Glen of Imaal Terrier,Terrier,"Rid the home and farm of vermin, and hunt badger and fox",12.0,15.0,13.0,14.0,32.0,40.0,"Spirited, Agile, Loyal, Gentle, Active, Courageous",https://cdn2.thedogapi.com/images/H1oLMe94m_1280.jpg
62,Golden Retriever,Sporting,Retrieving,10.0,12.0,22.0,24.0,55.0,75.0,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",https://cdn2.thedogapi.com/images/HJ7Pzg5EQ_1280.jpg
63,Gordon Setter,Sporting,Find and point gamebirds,10.0,12.0,23.0,27.0,45.0,80.0,"Fearless, Alert, Loyal, Confident, Gay, Eager",https://cdn2.thedogapi.com/images/SJ5vzx5NX_1280.jpg
64,Great Dane,Working,"Hunting & holding boars, Guardian",7.0,10.0,28.0,32.0,110.0,190.0,"Friendly, Devoted, Reserved, Gentle, Confident, Loving",https://cdn2.thedogapi.com/images/B1Edfl9NX_1280.jpg
65,Great Pyrenees,Working,Sheep guardian,10.0,12.0,25.0,32.0,85.0,115.0,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",https://cdn2.thedogapi.com/images/B12uzg9V7_1280.png
66,Greyhound,Hound,Coursing hares,10.0,13.0,27.0,30.0,50.0,70.0,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",https://cdn2.thedogapi.com/images/ryNYMx94X_1280.jpg
67,Harrier,Hound,Hunting hares by trailing them,12.0,15.0,18.0,22.0,40.0,60.0,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",https://cdn2.thedogapi.com/images/B1IcfgqE7_1280.jpg
68,Havanese,Toy,Companionship,14.0,15.0,9.0,12.0,7.0,13.0,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",https://cdn2.thedogapi.com/images/rkXiGl9V7_1280.jpg
69,Irish Setter,Sporting,"Bird setting, retrieving",10.0,11.0,24.0,27.0,35.0,70.0,"Affectionate, Energetic, Lively, Independent, Playful, Companionable",https://cdn2.thedogapi.com/images/S1osGeqVm_1280.jpg
70,Irish Wolfhound,Hound,"Coursing wolves, elk",6.0,8.0,30.0,35.0,105.0,180.0,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",https://cdn2.thedogapi.com/images/Hyd2zgcEX_1280.jpg
71,Italian Greyhound,Toy,Lapdog,12.0,15.0,13.0,15.0,7.0,15.0,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",https://cdn2.thedogapi.com/images/SJAnzg9NX_1280.jpg
72,Japanese Chin,Toy,Lapdog,12.0,14.0,8.0,11.0,4.0,9.0,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",https://cdn2.thedogapi.com/images/r1H6feqEm_1280.jpg
73,Keeshond,Non-Sporting,Barge watchdog,12.0,15.0,17.0,18.0,35.0,45.0,"Agile, Obedient, Playful, Quick, Sturdy, Bright",https://cdn2.thedogapi.com/images/S1GAGg9Vm_1280.jpg
74,Komondor,Working,Sheep guardian,10.0,12.0,26.0,28.0,80.0,100.0,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",https://cdn2.thedogapi.com/images/Bko0fl547_1280.jpg
75,Kuvasz,Working,"Guardian, hunting large game",8.0,10.0,26.0,30.0,70.0,115.0,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",https://cdn2.thedogapi.com/images/BykZ7ecVX_1280.jpg
76,Labrador Retriever,Sporting,Water retrieving,10.0,13.0,22.0,25.0,55.0,80.0,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",https://cdn2.thedogapi.com/images/B1uW7l5VX_1280.jpg
77,Lagotto Romagnolo,Sporting,Water retrieval dog in the marshes of Romagna,14.0,16.0,16.0,19.0,24.0,35.0,"Keen, Loyal, Companionable, Loving, Active, Trainable",https://cdn2.thedogapi.com/images/ryzzmgqE7_1280.jpg
78,Leonberger,Working,"Guardian, appearance.",6.0,8.0,26.0,32.0,120.0,170.0,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",https://cdn2.thedogapi.com/images/ByrmQlqVm_1280.jpg
79,Lhasa Apso,Non-Sporting,"Guarding inside the home, companion",12.0,15.0,10.0,11.0,12.0,18.0,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",https://cdn2.thedogapi.com/images/SJp7Qe5EX_1280.jpg
80,Maltese,Toy,Lapdog,15.0,18.0,8.0,10.0,4.0,7.0,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",https://cdn2.thedogapi.com/images/B1SV7gqN7_1280.jpg
81,Miniature Schnauzer,Terrier,Ratting,12.0,14.0,12.0,14.0,11.0,20.0,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",https://cdn2.thedogapi.com/images/SJIUQl9NX_1280.jpg
82,Newfoundland,Working,"All purpose water dog, fishing aid",8.0,10.0,26.0,28.0,100.0,150.0,"Sweet-Tempered, Gentle, Trainable",https://cdn2.thedogapi.com/images/Sk4DXl54m_1280.jpg
83,Norfolk Terrier,Terrier,"Ratting, fox bolting",12.0,15.0,9.0,10.0,11.0,12.0,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",https://cdn2.thedogapi.com/images/B1ADQg94X_1280.jpg
84,Papillon,Toy,Lapdog,13.0,17.0,8.0,11.0,3.0,12.0,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",https://cdn2.thedogapi.com/images/SkJj7e547_1280.jpg
85,Pembroke Welsh Corgi,Herding,Driving stock to market in northern Wales,12.0,14.0,10.0,12.0,25.0,30.0,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",https://cdn2.thedogapi.com/images/rJ6iQeqEm_1280.jpg
86,Pharaoh Hound,Hound,Hunting rabbits,12.0,14.0,21.0,25.0,40.0,60.0,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",https://cdn2.thedogapi.com/images/Byz6mgqEQ_1280.jpg
87,Plott,Hound,Hunting big-game like Boar.,12.0,14.0,20.0,25.0,40.0,60.0,"Bold, Alert, Loyal, Intelligent",https://cdn2.thedogapi.com/images/B1i67l5VQ_1280.jpg
88,Pug,Toy,Lapdog,12.0,14.0,10.0,12.0,14.0,18.0,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",https://cdn2.thedogapi.com/images/HyJvcl9N7_1280.jpg
89,Redbone Coonhound,Hound,"Hunting raccoon, deer, bear, and cougar.",10.0,12.0,21.0,27.0,45.0,80.0,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",https://cdn2.thedogapi.com/images/HJMzEl5N7_1280.jpg
90,Rhodesian Ridgeback,Hound,"Big game hunting, guarding",10.0,12.0,24.0,27.0,75.0,80.0,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",https://cdn2.thedogapi.com/images/By9zNgqE7_1280.jpg
91,Rottweiler,Working,"Cattle drover, guardian, draft",8.0,10.0,22.0,27.0,75.0,110.0,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",https://cdn2.thedogapi.com/images/r1xXEgcNX_1280.jpg
92,Samoyed,Working,"Herding reindeer, guardian, draft",12.0,14.0,19.0,24.0,50.0,60.0,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",https://cdn2.thedogapi.com/images/S1T8Ee9Nm_1280.jpg
93,Schipperke,Non-Sporting,Barge watchdog,13.0,15.0,10.0,13.0,10.0,16.0,"Fearless, Agile, Curious, Independent, Confident, Faithful",https://cdn2.thedogapi.com/images/SyBvVgc47_1280.jpg
94,Scottish Deerhound,Hound,Coursing deer,8.0,10.0,28.0,32.0,70.0,130.0,"Docile, Friendly, Dignified, Gentle",https://cdn2.thedogapi.com/images/SkNjqx9NQ_1280.jpg
95,Shih Tzu,Toy,Lapdog,10.0,18.0,8.0,11.0,9.0,16.0,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",https://cdn2.thedogapi.com/images/BkrJjgcV7_1280.jpg
96,Silky Terrier,Toy,"Small vermin hunting, companionship",12.0,15.0,9.0,10.0,8.0,10.0,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",https://cdn2.thedogapi.com/images/ByzGsl5Nm_1280.jpg
97,Soft Coated Wheaten Terrier,Terrier,"Vermin hunting, guarding, all-around farm helper",12.0,15.0,16.0,18.0,30.0,40.0,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",https://cdn2.thedogapi.com/images/HJHmix5NQ_1280.jpg
98,Spanish Water Dog,Sporting,Herding flocks of sheep and goats from one pasture to another,12.0,15.0,16.0,20.0,30.0,50.0,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",https://cdn2.thedogapi.com/images/HJf4jl9VX_1280.jpg
99,Vizsla,Sporting,Pointing and trailing,10.0,14.0,21.0,24.0,50.0,65.0,"Affectionate, Energetic, Loyal, Gentle, Quiet",https://cdn2.thedogapi.com/images/r1o0jx9Em_1280.jpg
100,Weimaraner,Sporting,Large game trailing and versatile gundog,12.0,15.0,23.0,27.0,55.0,90.0,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",https://cdn2.thedogapi.com/images/SyU12l9V7_1280.jpg
101,Welsh Springer Spaniel,Sporting,Flushing and retrieving birds,12.0,15.0,17.0,19.0,35.0,55.0,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",https://cdn2.thedogapi.com/images/BJ1gnx5Vm_1280.jpg
102,West Highland White Terrier,Terrier,"Fox, badger, vermin hunting",15.0,20.0,10.0,11.0,15.0,22.0,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",https://cdn2.thedogapi.com/images/Bkdx2g5Em_1280.jpg
103,Whippet,Hound,"Coursing, racing",12.0,15.0,18.0,22.0,25.0,35.0,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",https://cdn2.thedogapi.com/images/Hyv-ne94m_1280.jpg
104,Wirehaired Pointing Griffon,Sporting,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",12.0,14.0,20.0,24.0,45.0,70.0,"Loyal, Gentle, Vigilant, Trainable, Proud",https://cdn2.thedogapi.com/images/Bkam2l9Vm_1280.jpg
105,Yorkshire Terrier,Toy,Small vermin hunting,12.0,16.0,8.0,9.0,4.0,7.0,"Bold, Independent, Confident, Intelligent, Courageous",https://cdn2.thedogapi.com/images/B12BnxcVQ_1280.jpg
