id,Position,Track Name,Artist,URL
1,1,lutang,jikamarie,https://api.spotify.com/v1/tracks/6jB7cmxRuvf5QUxYl73q0o
2,2,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,https://api.spotify.com/v1/tracks/4gvrJnKCKIPiacNsWVQwEU
3,3,love nwantiti (ah ah ah),CKay,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g
4,4,nada contra (ciúme),Clarissa,https://api.spotify.com/v1/tracks/1YGLrVineKYS0UzvBAA3gH
5,5,The Red Means I Love You,Madds Buckley,https://api.spotify.com/v1/tracks/5pLbM4PU1wZyMvoQyEAorp
6,6,ONLY,LeeHi,https://api.spotify.com/v1/tracks/6TBJkXHPhu3EsMk1bshwuI
7,7,Life Goes On,Oliver Tree,https://api.spotify.com/v1/tracks/0eu4C55hL6x29mmeAjytzC
8,8,Taca a Xereca pra Mim,MC Kaique da VP,https://api.spotify.com/v1/tracks/2GqCEJpzmD81AJ2H0Hyz5T
9,9,Do It To It,ACRAZE,https://api.spotify.com/v1/tracks/20on25jryn53hWghthWWW3
10,10,Meet Me At Our Spot,THE ANXIETY,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG
11,11,In My Mind,Lyn Lapid,https://api.spotify.com/v1/tracks/2W779g2UrRZtVdf3FcEOO1
12,12,Putariazinha,Felipe Amorim,https://api.spotify.com/v1/tracks/2jwrYBGz7osKI31v50bS7b
13,13,Romantic Sunday,"Car, the garden",https://api.spotify.com/v1/tracks/16YZbdkJtyvsjV8UKOwQBB
14,14,Carinha de Neném,Japãozin,https://api.spotify.com/v1/tracks/6T6SDJszPbuMCBpSm3aS3G
15,15,Two Moons,BoyWithUke,https://api.spotify.com/v1/tracks/5GxUKIEkMXXZo1Tif0IzfC
16,16,Affet Beni Sevgilim,Ege Balkiz,https://api.spotify.com/v1/tracks/7iPURFHXYLPT7vb5p3wLiz
17,17,Cold Heart - PNAU Remix,Elton John,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz
18,18,Mon Amour - Remix,zzoilo,https://api.spotify.com/v1/tracks/5TMLavqGRKNxgzMBrVpC9R
19,19,Linda,Tokischa,https://api.spotify.com/v1/tracks/1ahCrpeTt94LL7y1aXw0Y8
20,20,Bad Day,Justus Bennetts,https://api.spotify.com/v1/tracks/3wA4ronkc8ZcPXUP0fDgYA
21,21,love nwantiti (feat. ElGrande Toto) - North African Remix,CKay,https://api.spotify.com/v1/tracks/1EYeZGTMCjV7uVey5fNWXM
22,22,this is what falling in love feels like,JVKE,https://api.spotify.com/v1/tracks/4UG2Fm0E98LhE2dlNxiAXx
23,23,World Is Spinning,DMAD,https://api.spotify.com/v1/tracks/313F7TP2xczgB8H2aW5eTH
24,24,STEREOTYPE,STAYC,https://api.spotify.com/v1/tracks/2bZIDMpzVooosmPHn0tHnd
25,25,Tell Me Something Good,Ewan McVicar,https://api.spotify.com/v1/tracks/5krhFNgUcYHwXlNPJJYzFM
26,26,Está Dañada,Ivan Cornejo,https://api.spotify.com/v1/tracks/6G2xXQRSZlEzYsUEb3uvuR
27,27,Dinda,Masdo,https://api.spotify.com/v1/tracks/49aLn6dhgqf1XOjxQGG15w
28,28,Ömrüm,Motive,https://api.spotify.com/v1/tracks/0GwSSml9L21vNI7VGLz1ae
29,29,I GUESS I'M IN LOVE,Clinton Kane,https://api.spotify.com/v1/tracks/1is8gU4RVcN4J8xItxWoOY
30,30,Sem Sentimento,DG e Batidão Stronda,https://api.spotify.com/v1/tracks/4XiFqfUXyTwOChvMLKKi0T
31,31,MTG - ELA VAI JOGA,DJ THG,https://api.spotify.com/v1/tracks/4VjuRtqxq5y9EPJix8MqVO
32,32,STREETSX VACATION BIBLE SCHOOL,XXKATUSJINSUX,https://api.spotify.com/v1/tracks/6jNgw46BbVU74Z3YSMuoqW
33,33,Siempre a Tu Lado,Nueva Marca,https://api.spotify.com/v1/tracks/5T14Fz7WqfW06PEiNVtd6p
34,34,Lay It Down,benu,https://api.spotify.com/v1/tracks/4RpxnofZXcrptoEaDACXdW
35,35,"Louis V, Menina Linda",Sidoka,https://api.spotify.com/v1/tracks/2jPACjKR21inTnWeo3eHla
36,36,Reina de mi Corazón,Jesus Dimas,https://api.spotify.com/v1/tracks/6pBV756dsPFIMGfLi29Obk
37,37,Jugaste y Sufrí,Eslabon Armado,https://api.spotify.com/v1/tracks/3NqBxTOMCJ3zW9CIP51td4
38,38,we fell in love in october,girl in red,https://api.spotify.com/v1/tracks/1BYZxKSf0aTxp8ZFoeyM3d
39,39,A Maior Saudade - Ao Vivo,Henrique & Juliano,https://api.spotify.com/v1/tracks/5Q0ZnQjk4lQpScX7ujswun
40,40,Alvejante,Priscila Senna,https://api.spotify.com/v1/tracks/7fnXPPBrHSGb15iPvVgFd8
41,41,Feel Like God !*,VVS,https://api.spotify.com/v1/tracks/2H2DRNy6Og2QoezvwsH0yt
42,42,u.,niteboi,https://api.spotify.com/v1/tracks/0J7oHYxjF6Oln61wy0kP2i
43,43,Ikaw Lang,NOBITA,https://api.spotify.com/v1/tracks/16iRlyUMJVPqz62DlomMre
44,44,GUY.exe,Superfruit,https://api.spotify.com/v1/tracks/3JTjLyrnevl9ASw3ayGO2P
45,45,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,https://api.spotify.com/v1/tracks/2rOnSn2piaqLAlYjtfUBlY
46,46,Pepas,Farruko,https://api.spotify.com/v1/tracks/2B4GHvToeLTOBB4QLzW3Ni
47,47,Bala Love,Mc Anjim,https://api.spotify.com/v1/tracks/48Ll1C6qAnP2UjnopQDh4a
48,48,Bon Gepakt,Donnie,https://api.spotify.com/v1/tracks/5fWyEc2ER2kselpeWQ6Yc7
49,49,edamame (feat. Rich Brian),bbno$,https://api.spotify.com/v1/tracks/1uMHCAyGmHqyygoNRuo7MV
